# TOEIC Speaking Part 2 - 사진묘사 만능문장 (형식: 영어 | 한글)
This is a picture taken at a park | 이것은 공원에서 찍힌 사진이에요
The first thing I can see in this picture is two women. | 이 사진에서 가장 먼저 볼 수 있는 것은 두명의 여자예요.
In the foreground/middle/background of the picture, I can see a fountain. | 사진의 전경/중앙/배경에는 분수대가 보여요.
On the left/right side of the picture, there is a sidewalk. | 사진의 왼쪽/오른쪽에는 인도가 있어요.
Next to her, there is another woman. | 그녀의 옆에 또 다른 여자가 있어요.
Behind her, I can see two men standing. | 그녀의 뒤에 서 있는 두명의 남성이 보여요.
Most of them are wearing formal clothes. | 그들 중 대부분은 정장을 입고 있어요.
Some of them are wearing casual clothes. | 그들 중 일부는 캐주얼한 옷을 입고 있어요.
She is looking at a menu. | 그녀는 메뉴판을 보고 있어요
He is writing something down. | 그는 무언가를 적고 있어요.
He is Drinking some water. | 그는 물을 마시고 있어요
She is serving food to customers. | 그녀는 고객들에게 음식을 제공하고 있어요.
She is holding a cup. | 그녀는 컵을 들고 있어요.
They are standing at the cashier. | 그들은 계산대에 서 있어요.
They are having a conversation. | 그들은 대화를 나누고 있어요
She is looking into a bag | 그녀는 가방 안을 들여다보고 있어요.
He is helping customers. | 그는 고객들을 돕고 있어요.
They are sitting at a table. | 그들은 테이블에 앉아 있어요.
He is looking for something. | 그는 무언가를 찾고 있어요.
He is handing over a credit card. | 그는 신용카드를 건네주고 있어요.
He is pushing a cart. | 그는 카트를 밀고 있어요.
He is looking at a product. | 그는 제품을 보고 있어요.
They are waiting in line. | 그들은 줄을 서서 기다리고 있어요.
They are arranging items. | 그들은 물건들을 정리하고 있어요.
She is holding a shopping bag. | 그녀는 쇼핑백을 들고 있어요.
He is reaching for an item. | 그는 물건을 집으려고 손을 뻗고 있어요.
He is holding a plastic bag. | 그는 비닐봉지를 들고 있어요.
He is raising his hand. | 그는 한 손을 들고 있어요.
She is holding a document. | 그녀는 문서를 들고 있어요.
He is making a presentation. | 그는 발표를 하고 있어요.
He is using a tablet PC. | 그는 태블릿을 사용하고 있어요.
They are reading a document. | 그들은 문서를 읽고 있어요.
He is hanging his clothes on a rack. | 그는 옷걸이에 옷을 걸고 있어요.
She is picking up a piece of paper. | 그녀는 종이 한 장을 줍고 있어요.
There is a man taking a picture. | 사진을 찍고 있는 한 남자가 있어요.
She is walking a dog. | 그녀는 개를 산책시키고 있어요.
He is lying on the ground. | 그는 바닥에 누워 있어요.
She is pushing a baby stroller. | 그녀는 유모차를 밀고 있어요.
He is riding a boat. | 그는 보트를 타고 있어요.
He is loading a box into a truck. | 그는 트럭에 상자를 싣고 있어요
He is relaxing on a beach chair. | 그는 해변 의자에서 쉬고 있어요.
They are walking down the stairs. | 그들은 계단을 내려가고 있어요.
They are crossing the street. | 그들은 길을 건너고 있어요.
They are walking on the street. | 그들은 길을 걸어가고 있어요.
She is looking at a smartphone. | 그녀는 스마트폰을 보고 있어요.
They are performing. | 그들은 공연하고 있어요.
